Date,Description,Reference_Number,Amount,Type,Status,SOX_Control_Point,Reviewer
2025-07-15,Item_001,Item_001,"$35,012",Wire,Cleared,Item_001,Item_001
2025-08-02,Item_002,Item_002,"$32,313",Wire,Outstanding,Item_002,Item_002
2025-07-11,Item_003,Item_003,"$29,113",Interest,Cleared,Item_003,Item_003
2025-07-11,Item_004,Item_004,"$36,138",Check,Reconciled,Item_004,Item_004
2025-07-19,Item_005,Item_005,"$2,936",Interest,Cleared,Item_005,Item_005
2025-07-08,Item_006,Item_006,"$33,101",Deposit,Reconciled,Item_006,Item_006
2025-07-20,Item_007,Item_007,"$25,394",Deposit,Cleared,Item_007,Item_007
2025-07-24,Item_008,Item_008,"$16,074",Check,Cleared,Item_008,Item_008
2025-07-23,Item_009,Item_009,"$47,962",Deposit,Reconciled,Item_009,Item_009
2025-07-27,Item_010,Item_010,"$7,694",Interest,Cleared,Item_010,Item_010
2025-07-30,Item_011,Item_011,"$46,559",Wire,Cleared,Item_011,Item_011
2025-07-06,Item_012,Item_012,"$19,316",Check,Cleared,Item_012,Item_012
2025-07-28,Item_013,Item_013,"$35,372",Fee,Outstanding,Item_013,Item_013
2025-07-23,Item_014,Item_014,"$16,585",Check,Reconciled,Item_014,Item_014
2025-07-19,Item_015,Item_015,"$44,754",Deposit,Reconciled,Item_015,Item_015
2025-07-16,Item_016,Item_016,"$49,236",Check,Reconciled,Item_016,Item_016
2025-07-20,Item_017,Item_017,"$19,988",Interest,Outstanding,Item_017,Item_017
2025-07-08,Item_018,Item_018,"$17,537",Fee,Outstanding,Item_018,Item_018
2025-07-15,Item_019,Item_019,"$4,446",Deposit,Cleared,Item_019,Item_019
2025-07-30,Item_020,Item_020,"$39,271",Wire,Cleared,Item_020,Item_020
2025-07-27,Item_021,Item_021,"$37,860",Interest,Outstanding,Item_021,Item_021
2025-07-29,Item_022,Item_022,"$5,425",Fee,Reconciled,Item_022,Item_022
2025-07-12,Item_023,Item_023,"$20,732",Check,Cleared,Item_023,Item_023
2025-07-29,Item_024,Item_024,"$28,410",Interest,Cleared,Item_024,Item_024
2025-07-24,Item_025,Item_025,"$22,614",Fee,Reconciled,Item_025,Item_025
2025-07-14,Item_026,Item_026,"$33,097",Check,Reconciled,Item_026,Item_026
2025-07-13,Item_027,Item_027,"$7,513",Wire,Reconciled,Item_027,Item_027
2025-07-09,Item_028,Item_028,"$41,089",Wire,Cleared,Item_028,Item_028
2025-07-14,Item_029,Item_029,"$19,883",Interest,Reconciled,Item_029,Item_029
2025-07-28,Item_030,Item_030,$992,Fee,Cleared,Item_030,Item_030
2025-07-31,Item_031,Item_031,"$16,509",Check,Outstanding,Item_031,Item_031
2025-07-18,Item_032,Item_032,"$16,696",Deposit,Reconciled,Item_032,Item_032
2025-08-03,Item_033,Item_033,"$30,539",Wire,Outstanding,Item_033,Item_033
2025-07-11,Item_034,Item_034,"$17,103",Wire,Reconciled,Item_034,Item_034
2025-08-02,Item_035,Item_035,"$47,207",Check,Outstanding,Item_035,Item_035
2025-08-01,Item_036,Item_036,"$22,299",Fee,Reconciled,Item_036,Item_036
2025-08-03,Item_037,Item_037,"$3,496",Deposit,Outstanding,Item_037,Item_037
2025-07-18,Item_038,Item_038,"$32,012",Fee,Reconciled,Item_038,Item_038
2025-07-08,Item_039,Item_039,"$13,202",Check,Outstanding,Item_039,Item_039
2025-07-27,Item_040,Item_040,"$2,462",Deposit,Cleared,Item_040,Item_040
2025-08-01,Item_041,Item_041,"$8,561",Deposit,Reconciled,Item_041,Item_041
2025-07-13,Item_042,Item_042,"$39,246",Deposit,Cleared,Item_042,Item_042
2025-07-26,Item_043,Item_043,"$17,348",Wire,Reconciled,Item_043,Item_043
2025-07-30,Item_044,Item_044,"$15,422",Fee,Cleared,Item_044,Item_044
2025-07-30,Item_045,Item_045,"$28,847",Fee,Reconciled,Item_045,Item_045
2025-08-03,Item_046,Item_046,"$44,438",Wire,Cleared,Item_046,Item_046
2025-07-19,Item_047,Item_047,$765,Fee,Outstanding,Item_047,Item_047
2025-07-23,Item_048,Item_048,"$24,859",Wire,Cleared,Item_048,Item_048
2025-07-30,Item_049,Item_049,"$5,877",Interest,Cleared,Item_049,Item_049
2025-07-12,Item_050,Item_050,"$40,608",Deposit,Cleared,Item_050,Item_050
