Risk_ID,Risk_Description,Process_Step,Likelihood,Impact,Risk_Rating,Control_Description,Control_Owner,Testing_Frequency,Last_Test_Date,Test_Results,Action_Required
R001,Risk_Item_1,Risk_Item_1,Low,Low,High,Risk_Item_1,Risk_Item_1,Risk_Item_1,Risk_Item_1,Risk_Item_1,Risk_Item_1
R002,Risk_Item_2,Risk_Item_2,High,High,Critical,Risk_Item_2,Risk_Item_2,Risk_Item_2,Risk_Item_2,Risk_Item_2,Risk_Item_2
R003,Risk_Item_3,Risk_Item_3,High,Low,Critical,Risk_Item_3,Risk_Item_3,Risk_Item_3,Risk_Item_3,Risk_Item_3,Risk_Item_3
R004,Risk_Item_4,Risk_Item_4,Medium,High,High,Risk_Item_4,Risk_Item_4,Risk_Item_4,Risk_Item_4,Risk_Item_4,Risk_Item_4
R005,Risk_Item_5,Risk_Item_5,High,High,High,Risk_Item_5,Risk_Item_5,Risk_Item_5,Risk_Item_5,Risk_Item_5,Risk_Item_5
R006,Risk_Item_6,Risk_Item_6,High,Low,Low,Risk_Item_6,Risk_Item_6,Risk_Item_6,Risk_Item_6,Risk_Item_6,Risk_Item_6
R007,Risk_Item_7,Risk_Item_7,High,Low,Medium,Risk_Item_7,Risk_Item_7,Risk_Item_7,Risk_Item_7,Risk_Item_7,Risk_Item_7
R008,Risk_Item_8,Risk_Item_8,High,High,High,Risk_Item_8,Risk_Item_8,Risk_Item_8,Risk_Item_8,Risk_Item_8,Risk_Item_8
R009,Risk_Item_9,Risk_Item_9,Medium,Medium,Medium,Risk_Item_9,Risk_Item_9,Risk_Item_9,Risk_Item_9,Risk_Item_9,Risk_Item_9
R010,Risk_Item_10,Risk_Item_10,Low,High,Critical,Risk_Item_10,Risk_Item_10,Risk_Item_10,Risk_Item_10,Risk_Item_10,Risk_Item_10
R011,Risk_Item_11,Risk_Item_11,Low,Medium,High,Risk_Item_11,Risk_Item_11,Risk_Item_11,Risk_Item_11,Risk_Item_11,Risk_Item_11
R012,Risk_Item_12,Risk_Item_12,Low,High,Low,Risk_Item_12,Risk_Item_12,Risk_Item_12,Risk_Item_12,Risk_Item_12,Risk_Item_12
R013,Risk_Item_13,Risk_Item_13,High,Medium,High,Risk_Item_13,Risk_Item_13,Risk_Item_13,Risk_Item_13,Risk_Item_13,Risk_Item_13
R014,Risk_Item_14,Risk_Item_14,Low,Low,Low,Risk_Item_14,Risk_Item_14,Risk_Item_14,Risk_Item_14,Risk_Item_14,Risk_Item_14
R015,Risk_Item_15,Risk_Item_15,Medium,High,High,Risk_Item_15,Risk_Item_15,Risk_Item_15,Risk_Item_15,Risk_Item_15,Risk_Item_15
R016,Risk_Item_16,Risk_Item_16,Medium,High,Low,Risk_Item_16,Risk_Item_16,Risk_Item_16,Risk_Item_16,Risk_Item_16,Risk_Item_16
R017,Risk_Item_17,Risk_Item_17,Medium,Low,High,Risk_Item_17,Risk_Item_17,Risk_Item_17,Risk_Item_17,Risk_Item_17,Risk_Item_17
R018,Risk_Item_18,Risk_Item_18,Low,Low,High,Risk_Item_18,Risk_Item_18,Risk_Item_18,Risk_Item_18,Risk_Item_18,Risk_Item_18
R019,Risk_Item_19,Risk_Item_19,Medium,Low,Low,Risk_Item_19,Risk_Item_19,Risk_Item_19,Risk_Item_19,Risk_Item_19,Risk_Item_19
R020,Risk_Item_20,Risk_Item_20,High,Low,High,Risk_Item_20,Risk_Item_20,Risk_Item_20,Risk_Item_20,Risk_Item_20,Risk_Item_20
R021,Risk_Item_21,Risk_Item_21,High,Medium,High,Risk_Item_21,Risk_Item_21,Risk_Item_21,Risk_Item_21,Risk_Item_21,Risk_Item_21
R022,Risk_Item_22,Risk_Item_22,Medium,High,Critical,Risk_Item_22,Risk_Item_22,Risk_Item_22,Risk_Item_22,Risk_Item_22,Risk_Item_22
R023,Risk_Item_23,Risk_Item_23,Low,Low,Medium,Risk_Item_23,Risk_Item_23,Risk_Item_23,Risk_Item_23,Risk_Item_23,Risk_Item_23
R024,Risk_Item_24,Risk_Item_24,High,Low,Critical,Risk_Item_24,Risk_Item_24,Risk_Item_24,Risk_Item_24,Risk_Item_24,Risk_Item_24
