UserID,Employee_Name,Department,Job_Title,System_Access,Access_Level,Last_Login,SOX_Critical,Review_Status,Findings
U1000,Employee_001,IT,Manager,Data_1,Administrator,Data_1,No,Exception,Data_1
U1001,Employee_002,Accounting,VP,Data_2,Read Only,Data_2,No,Exception,Data_2
U1002,Employee_003,Treasury,Manager,Data_3,Administrator,Data_3,Yes,Exception,Data_3
U1003,Employee_004,Operations,VP,Data_4,Administrator,Data_4,Yes,Approved,Data_4
U1004,Employee_005,Treasury,Senior Analyst,Data_5,Read Only,Data_5,No,Exception,Data_5
U1005,Employee_006,Treasury,Manager,Data_6,Administrator,Data_6,No,Pending,Data_6
U1006,Employee_007,Finance,Senior Analyst,Data_7,Read Only,Data_7,No,Approved,Data_7
U1007,Employee_008,Legal,VP,Data_8,Standard User,Data_8,No,Approved,Data_8
U1008,Employee_009,Operations,Director,Data_9,Standard User,Data_9,No,Pending,Data_9
U1009,Employee_010,Legal,Analyst,Data_10,Power User,Data_10,Yes,Exception,Data_10
U1010,Employee_011,Operations,Analyst,Data_11,Administrator,Data_11,No,Approved,Data_11
U1011,Employee_012,Finance,Director,Data_12,Standard User,Data_12,Yes,Exception,Data_12
U1012,Employee_013,Finance,Senior Analyst,Data_13,Administrator,Data_13,No,Pending,Data_13
U1013,Employee_014,Finance,Analyst,Data_14,Standard User,Data_14,No,Exception,Data_14
U1014,Employee_015,Finance,VP,Data_15,Read Only,Data_15,Yes,Pending,Data_15
U1015,Employee_016,Treasury,Director,Data_16,Read Only,Data_16,No,Pending,Data_16
U1016,Employee_017,IT,VP,Data_17,Power User,Data_17,Yes,Exception,Data_17
U1017,Employee_018,Accounting,Senior Analyst,Data_18,Standard User,Data_18,No,Pending,Data_18
U1018,Employee_019,Treasury,Manager,Data_19,Power User,Data_19,Yes,Pending,Data_19
U1019,Employee_020,IT,Director,Data_20,Power User,Data_20,No,Exception,Data_20
U1020,Employee_021,IT,Manager,Data_21,Power User,Data_21,No,Pending,Data_21
U1021,Employee_022,Finance,VP,Data_22,Administrator,Data_22,No,Approved,Data_22
U1022,Employee_023,Operations,Director,Data_23,Administrator,Data_23,No,Pending,Data_23
U1023,Employee_024,IT,Senior Analyst,Data_24,Standard User,Data_24,Yes,Approved,Data_24
U1024,Employee_025,Treasury,Senior Analyst,Data_25,Read Only,Data_25,Yes,Pending,Data_25
U1025,Employee_026,Finance,Director,Data_26,Read Only,Data_26,No,Exception,Data_26
U1026,Employee_027,Accounting,Director,Data_27,Power User,Data_27,Yes,Pending,Data_27
U1027,Employee_028,IT,Manager,Data_28,Power User,Data_28,Yes,Exception,Data_28
U1028,Employee_029,Operations,Manager,Data_29,Power User,Data_29,No,Exception,Data_29
U1029,Employee_030,Treasury,Senior Analyst,Data_30,Administrator,Data_30,No,Pending,Data_30
U1030,Employee_031,Operations,Senior Analyst,Data_31,Standard User,Data_31,Yes,Exception,Data_31
U1031,Employee_032,Legal,Analyst,Data_32,Read Only,Data_32,No,Pending,Data_32
U1032,Employee_033,Accounting,VP,Data_33,Power User,Data_33,Yes,Pending,Data_33
U1033,Employee_034,Treasury,Manager,Data_34,Power User,Data_34,No,Pending,Data_34
U1034,Employee_035,Accounting,Director,Data_35,Power User,Data_35,No,Approved,Data_35
U1035,Employee_036,Operations,Manager,Data_36,Read Only,Data_36,Yes,Pending,Data_36
U1036,Employee_037,Legal,Analyst,Data_37,Standard User,Data_37,No,Exception,Data_37
U1037,Employee_038,IT,Director,Data_38,Administrator,Data_38,No,Approved,Data_38
U1038,Employee_039,Legal,Analyst,Data_39,Administrator,Data_39,No,Approved,Data_39
U1039,Employee_040,Legal,Analyst,Data_40,Read Only,Data_40,Yes,Pending,Data_40
U1040,Employee_041,Accounting,VP,Data_41,Administrator,Data_41,No,Approved,Data_41
U1041,Employee_042,Accounting,Analyst,Data_42,Standard User,Data_42,No,Exception,Data_42
U1042,Employee_043,IT,Manager,Data_43,Power User,Data_43,Yes,Approved,Data_43
U1043,Employee_044,Operations,Director,Data_44,Standard User,Data_44,No,Exception,Data_44
U1044,Employee_045,Finance,Senior Analyst,Data_45,Read Only,Data_45,Yes,Approved,Data_45
U1045,Employee_046,Accounting,VP,Data_46,Power User,Data_46,No,Approved,Data_46
U1046,Employee_047,Treasury,Analyst,Data_47,Administrator,Data_47,Yes,Pending,Data_47
U1047,Employee_048,IT,VP,Data_48,Read Only,Data_48,Yes,Approved,Data_48
U1048,Employee_049,Finance,VP,Data_49,Standard User,Data_49,Yes,Approved,Data_49
U1049,Employee_050,IT,VP,Data_50,Administrator,Data_50,Yes,Pending,Data_50
