Date,Description,Reference_Number,Amount,Type,Status,SOX_Control_Point,Reviewer
2025-07-24,Item_001,Item_001,"$6,676",Interest,Reconciled,Item_001,Item_001
2025-07-22,Item_002,Item_002,"$13,989",Check,Reconciled,Item_002,Item_002
2025-07-27,Item_003,Item_003,"$8,684",Interest,Outstanding,Item_003,Item_003
2025-07-24,Item_004,Item_004,"$38,144",Fee,Cleared,Item_004,Item_004
2025-07-06,Item_005,Item_005,"$48,418",Interest,Cleared,Item_005,Item_005
2025-08-01,Item_006,Item_006,"$45,905",Deposit,Reconciled,Item_006,Item_006
2025-07-11,Item_007,Item_007,"$48,799",Check,Cleared,Item_007,Item_007
2025-07-23,Item_008,Item_008,"$4,505",Check,Reconciled,Item_008,Item_008
2025-07-11,Item_009,Item_009,"$20,495",Interest,Reconciled,Item_009,Item_009
2025-07-23,Item_010,Item_010,"$11,323",Deposit,Cleared,Item_010,Item_010
2025-07-05,Item_011,Item_011,"$28,125",Deposit,Reconciled,Item_011,Item_011
2025-08-01,Item_012,Item_012,"$47,190",Deposit,Cleared,Item_012,Item_012
2025-07-22,Item_013,Item_013,"$33,107",Wire,Reconciled,Item_013,Item_013
2025-07-24,Item_014,Item_014,"$20,330",Fee,Reconciled,Item_014,Item_014
2025-08-03,Item_015,Item_015,"$21,523",Deposit,Outstanding,Item_015,Item_015
2025-07-22,Item_016,Item_016,"$6,352",Fee,Reconciled,Item_016,Item_016
2025-07-20,Item_017,Item_017,"$29,877",Wire,Cleared,Item_017,Item_017
2025-08-03,Item_018,Item_018,"$12,770",Interest,Cleared,Item_018,Item_018
2025-07-16,Item_019,Item_019,"$43,874",Interest,Reconciled,Item_019,Item_019
2025-07-31,Item_020,Item_020,"$17,612",Interest,Outstanding,Item_020,Item_020
2025-08-03,Item_021,Item_021,"$32,214",Check,Reconciled,Item_021,Item_021
2025-07-19,Item_022,Item_022,"$41,409",Deposit,Outstanding,Item_022,Item_022
2025-07-20,Item_023,Item_023,$149,Check,Cleared,Item_023,Item_023
2025-07-06,Item_024,Item_024,"$26,928",Fee,Reconciled,Item_024,Item_024
2025-07-21,Item_025,Item_025,"$6,797",Deposit,Reconciled,Item_025,Item_025
2025-07-30,Item_026,Item_026,"$2,312",Interest,Reconciled,Item_026,Item_026
2025-07-16,Item_027,Item_027,$898,Deposit,Cleared,Item_027,Item_027
2025-08-02,Item_028,Item_028,"$43,711",Interest,Outstanding,Item_028,Item_028
2025-07-12,Item_029,Item_029,"$32,408",Wire,Reconciled,Item_029,Item_029
2025-07-23,Item_030,Item_030,"$15,548",Check,Cleared,Item_030,Item_030
2025-07-06,Item_031,Item_031,"$23,758",Fee,Outstanding,Item_031,Item_031
2025-07-29,Item_032,Item_032,"$31,368",Interest,Reconciled,Item_032,Item_032
2025-08-02,Item_033,Item_033,"$5,859",Fee,Outstanding,Item_033,Item_033
2025-07-10,Item_034,Item_034,"$22,365",Interest,Reconciled,Item_034,Item_034
2025-07-23,Item_035,Item_035,"$20,873",Deposit,Reconciled,Item_035,Item_035
2025-07-08,Item_036,Item_036,"$38,587",Fee,Reconciled,Item_036,Item_036
2025-07-08,Item_037,Item_037,"$17,175",Interest,Reconciled,Item_037,Item_037
2025-07-30,Item_038,Item_038,"$27,920",Interest,Outstanding,Item_038,Item_038
2025-07-15,Item_039,Item_039,"$8,505",Check,Outstanding,Item_039,Item_039
2025-08-03,Item_040,Item_040,"$48,421",Wire,Outstanding,Item_040,Item_040
2025-07-27,Item_041,Item_041,"$14,030",Check,Outstanding,Item_041,Item_041
2025-07-16,Item_042,Item_042,"$33,660",Check,Outstanding,Item_042,Item_042
2025-07-14,Item_043,Item_043,"$5,005",Interest,Reconciled,Item_043,Item_043
2025-07-23,Item_044,Item_044,"$8,342",Wire,Cleared,Item_044,Item_044
2025-07-12,Item_045,Item_045,"$28,064",Check,Cleared,Item_045,Item_045
2025-07-15,Item_046,Item_046,"$1,854",Wire,Reconciled,Item_046,Item_046
2025-08-02,Item_047,Item_047,"$22,042",Fee,Cleared,Item_047,Item_047
2025-08-02,Item_048,Item_048,"$35,273",Interest,Cleared,Item_048,Item_048
2025-07-24,Item_049,Item_049,"$4,589",Interest,Reconciled,Item_049,Item_049
2025-07-10,Item_050,Item_050,"$40,451",Deposit,Cleared,Item_050,Item_050
