Risk_ID,Risk_Description,Process_Step,Likelihood,Impact,Risk_Rating,Control_Description,Control_Owner,Testing_Frequency,Last_Test_Date,Test_Results,Action_Required
R001,Risk_Item_1,Risk_Item_1,Medium,Low,Medium,Risk_Item_1,Risk_Item_1,Risk_Item_1,Risk_Item_1,Risk_Item_1,Risk_Item_1
R002,Risk_Item_2,Risk_Item_2,Medium,Medium,Critical,Risk_Item_2,Risk_Item_2,Risk_Item_2,Risk_Item_2,Risk_Item_2,Risk_Item_2
R003,Risk_Item_3,Risk_Item_3,Medium,High,Medium,Risk_Item_3,Risk_Item_3,Risk_Item_3,Risk_Item_3,Risk_Item_3,Risk_Item_3
R004,Risk_Item_4,Risk_Item_4,High,Medium,Low,Risk_Item_4,Risk_Item_4,Risk_Item_4,Risk_Item_4,Risk_Item_4,Risk_Item_4
R005,Risk_Item_5,Risk_Item_5,High,Medium,Critical,Risk_Item_5,Risk_Item_5,Risk_Item_5,Risk_Item_5,Risk_Item_5,Risk_Item_5
R006,Risk_Item_6,Risk_Item_6,Low,High,Low,Risk_Item_6,Risk_Item_6,Risk_Item_6,Risk_Item_6,Risk_Item_6,Risk_Item_6
R007,Risk_Item_7,Risk_Item_7,High,Medium,High,Risk_Item_7,Risk_Item_7,Risk_Item_7,Risk_Item_7,Risk_Item_7,Risk_Item_7
R008,Risk_Item_8,Risk_Item_8,Low,Medium,Low,Risk_Item_8,Risk_Item_8,Risk_Item_8,Risk_Item_8,Risk_Item_8,Risk_Item_8
R009,Risk_Item_9,Risk_Item_9,Medium,High,Critical,Risk_Item_9,Risk_Item_9,Risk_Item_9,Risk_Item_9,Risk_Item_9,Risk_Item_9
R010,Risk_Item_10,Risk_Item_10,Low,High,Medium,Risk_Item_10,Risk_Item_10,Risk_Item_10,Risk_Item_10,Risk_Item_10,Risk_Item_10
R011,Risk_Item_11,Risk_Item_11,Medium,Medium,Medium,Risk_Item_11,Risk_Item_11,Risk_Item_11,Risk_Item_11,Risk_Item_11,Risk_Item_11
R012,Risk_Item_12,Risk_Item_12,Low,Medium,Low,Risk_Item_12,Risk_Item_12,Risk_Item_12,Risk_Item_12,Risk_Item_12,Risk_Item_12
R013,Risk_Item_13,Risk_Item_13,Low,Low,Low,Risk_Item_13,Risk_Item_13,Risk_Item_13,Risk_Item_13,Risk_Item_13,Risk_Item_13
R014,Risk_Item_14,Risk_Item_14,High,Medium,Low,Risk_Item_14,Risk_Item_14,Risk_Item_14,Risk_Item_14,Risk_Item_14,Risk_Item_14
R015,Risk_Item_15,Risk_Item_15,Medium,Low,High,Risk_Item_15,Risk_Item_15,Risk_Item_15,Risk_Item_15,Risk_Item_15,Risk_Item_15
R016,Risk_Item_16,Risk_Item_16,Low,Low,Critical,Risk_Item_16,Risk_Item_16,Risk_Item_16,Risk_Item_16,Risk_Item_16,Risk_Item_16
R017,Risk_Item_17,Risk_Item_17,Low,High,High,Risk_Item_17,Risk_Item_17,Risk_Item_17,Risk_Item_17,Risk_Item_17,Risk_Item_17
R018,Risk_Item_18,Risk_Item_18,Medium,Medium,Critical,Risk_Item_18,Risk_Item_18,Risk_Item_18,Risk_Item_18,Risk_Item_18,Risk_Item_18
R019,Risk_Item_19,Risk_Item_19,Low,Medium,High,Risk_Item_19,Risk_Item_19,Risk_Item_19,Risk_Item_19,Risk_Item_19,Risk_Item_19
R020,Risk_Item_20,Risk_Item_20,High,High,Medium,Risk_Item_20,Risk_Item_20,Risk_Item_20,Risk_Item_20,Risk_Item_20,Risk_Item_20
R021,Risk_Item_21,Risk_Item_21,High,Medium,Critical,Risk_Item_21,Risk_Item_21,Risk_Item_21,Risk_Item_21,Risk_Item_21,Risk_Item_21
R022,Risk_Item_22,Risk_Item_22,High,Low,High,Risk_Item_22,Risk_Item_22,Risk_Item_22,Risk_Item_22,Risk_Item_22,Risk_Item_22
R023,Risk_Item_23,Risk_Item_23,Low,Medium,High,Risk_Item_23,Risk_Item_23,Risk_Item_23,Risk_Item_23,Risk_Item_23,Risk_Item_23
R024,Risk_Item_24,Risk_Item_24,Medium,Low,Medium,Risk_Item_24,Risk_Item_24,Risk_Item_24,Risk_Item_24,Risk_Item_24,Risk_Item_24
R025,Risk_Item_25,Risk_Item_25,Low,High,Critical,Risk_Item_25,Risk_Item_25,Risk_Item_25,Risk_Item_25,Risk_Item_25,Risk_Item_25
R026,Risk_Item_26,Risk_Item_26,Low,Medium,Critical,Risk_Item_26,Risk_Item_26,Risk_Item_26,Risk_Item_26,Risk_Item_26,Risk_Item_26
R027,Risk_Item_27,Risk_Item_27,Low,Medium,High,Risk_Item_27,Risk_Item_27,Risk_Item_27,Risk_Item_27,Risk_Item_27,Risk_Item_27
