Finding_ID,System,User,Issue_Type,Risk_Level,SOX_Impact,Remediation,Due_Date
Finding_ID_1,System_1,User_1,Issue_Type_1,Risk_Level_1,SOX_Impact_1,Remediation_1,Due_Date_1
Finding_ID_2,System_2,User_2,Issue_Type_2,Risk_Level_2,SOX_Impact_2,Remediation_2,Due_Date_2
Finding_ID_3,System_3,User_3,Issue_Type_3,Risk_Level_3,SOX_Impact_3,Remediation_3,Due_Date_3
Finding_ID_4,System_4,User_4,Issue_Type_4,Risk_Level_4,SOX_Impact_4,Remediation_4,Due_Date_4
Finding_ID_5,System_5,User_5,Issue_Type_5,Risk_Level_5,SOX_Impact_5,Remediation_5,Due_Date_5
Finding_ID_6,System_6,User_6,Issue_Type_6,Risk_Level_6,SOX_Impact_6,Remediation_6,Due_Date_6
Finding_ID_7,System_7,User_7,Issue_Type_7,Risk_Level_7,SOX_Impact_7,Remediation_7,Due_Date_7
Finding_ID_8,System_8,User_8,Issue_Type_8,Risk_Level_8,SOX_Impact_8,Remediation_8,Due_Date_8
Finding_ID_9,System_9,User_9,Issue_Type_9,Risk_Level_9,SOX_Impact_9,Remediation_9,Due_Date_9
Finding_ID_10,System_10,User_10,Issue_Type_10,Risk_Level_10,SOX_Impact_10,Remediation_10,Due_Date_10
Finding_ID_11,System_11,User_11,Issue_Type_11,Risk_Level_11,SOX_Impact_11,Remediation_11,Due_Date_11
Finding_ID_12,System_12,User_12,Issue_Type_12,Risk_Level_12,SOX_Impact_12,Remediation_12,Due_Date_12
Finding_ID_13,System_13,User_13,Issue_Type_13,Risk_Level_13,SOX_Impact_13,Remediation_13,Due_Date_13
Finding_ID_14,System_14,User_14,Issue_Type_14,Risk_Level_14,SOX_Impact_14,Remediation_14,Due_Date_14
Finding_ID_15,System_15,User_15,Issue_Type_15,Risk_Level_15,SOX_Impact_15,Remediation_15,Due_Date_15
Finding_ID_16,System_16,User_16,Issue_Type_16,Risk_Level_16,SOX_Impact_16,Remediation_16,Due_Date_16
Finding_ID_17,System_17,User_17,Issue_Type_17,Risk_Level_17,SOX_Impact_17,Remediation_17,Due_Date_17
