Check_Number,Date_Issued,Payee,Amount,Days_Outstanding,Follow_up_Required,Status
Check_Number_1,Date_Issued_1,Payee_1,Amount_1,Days_Outstanding_1,Follow_up_Required_1,Status_1
Check_Number_2,Date_Issued_2,Payee_2,Amount_2,Days_Outstanding_2,Follow_up_Required_2,Status_2
Check_Number_3,Date_Issued_3,Payee_3,Amount_3,Days_Outstanding_3,Follow_up_Required_3,Status_3
Check_Number_4,Date_Issued_4,Payee_4,Amount_4,Days_Outstanding_4,Follow_up_Required_4,Status_4
Check_Number_5,Date_Issued_5,Payee_5,Amount_5,Days_Outstanding_5,Follow_up_Required_5,Status_5
Check_Number_6,Date_Issued_6,Payee_6,Amount_6,Days_Outstanding_6,Follow_up_Required_6,Status_6
Check_Number_7,Date_Issued_7,Payee_7,Amount_7,Days_Outstanding_7,Follow_up_Required_7,Status_7
Check_Number_8,Date_Issued_8,Payee_8,Amount_8,Days_Outstanding_8,Follow_up_Required_8,Status_8
Check_Number_9,Date_Issued_9,Payee_9,Amount_9,Days_Outstanding_9,Follow_up_Required_9,Status_9
Check_Number_10,Date_Issued_10,Payee_10,Amount_10,Days_Outstanding_10,Follow_up_Required_10,Status_10
Check_Number_11,Date_Issued_11,Payee_11,Amount_11,Days_Outstanding_11,Follow_up_Required_11,Status_11
Check_Number_12,Date_Issued_12,Payee_12,Amount_12,Days_Outstanding_12,Follow_up_Required_12,Status_12
Check_Number_13,Date_Issued_13,Payee_13,Amount_13,Days_Outstanding_13,Follow_up_Required_13,Status_13
Check_Number_14,Date_Issued_14,Payee_14,Amount_14,Days_Outstanding_14,Follow_up_Required_14,Status_14
Check_Number_15,Date_Issued_15,Payee_15,Amount_15,Days_Outstanding_15,Follow_up_Required_15,Status_15
Check_Number_16,Date_Issued_16,Payee_16,Amount_16,Days_Outstanding_16,Follow_up_Required_16,Status_16
Check_Number_17,Date_Issued_17,Payee_17,Amount_17,Days_Outstanding_17,Follow_up_Required_17,Status_17
Check_Number_18,Date_Issued_18,Payee_18,Amount_18,Days_Outstanding_18,Follow_up_Required_18,Status_18
Check_Number_19,Date_Issued_19,Payee_19,Amount_19,Days_Outstanding_19,Follow_up_Required_19,Status_19
Check_Number_20,Date_Issued_20,Payee_20,Amount_20,Days_Outstanding_20,Follow_up_Required_20,Status_20
Check_Number_21,Date_Issued_21,Payee_21,Amount_21,Days_Outstanding_21,Follow_up_Required_21,Status_21
Check_Number_22,Date_Issued_22,Payee_22,Amount_22,Days_Outstanding_22,Follow_up_Required_22,Status_22
Check_Number_23,Date_Issued_23,Payee_23,Amount_23,Days_Outstanding_23,Follow_up_Required_23,Status_23
Check_Number_24,Date_Issued_24,Payee_24,Amount_24,Days_Outstanding_24,Follow_up_Required_24,Status_24
Check_Number_25,Date_Issued_25,Payee_25,Amount_25,Days_Outstanding_25,Follow_up_Required_25,Status_25
Check_Number_26,Date_Issued_26,Payee_26,Amount_26,Days_Outstanding_26,Follow_up_Required_26,Status_26
Check_Number_27,Date_Issued_27,Payee_27,Amount_27,Days_Outstanding_27,Follow_up_Required_27,Status_27
Check_Number_28,Date_Issued_28,Payee_28,Amount_28,Days_Outstanding_28,Follow_up_Required_28,Status_28
Check_Number_29,Date_Issued_29,Payee_29,Amount_29,Days_Outstanding_29,Follow_up_Required_29,Status_29
Check_Number_30,Date_Issued_30,Payee_30,Amount_30,Days_Outstanding_30,Follow_up_Required_30,Status_30
Check_Number_31,Date_Issued_31,Payee_31,Amount_31,Days_Outstanding_31,Follow_up_Required_31,Status_31
