Date,Description,Reference_Number,Amount,Type,Status,SOX_Control_Point,Reviewer
2025-08-03,Item_001,Item_001,"$33,328",Check,Outstanding,Item_001,Item_001
2025-07-26,Item_002,Item_002,"$5,410",Deposit,Cleared,Item_002,Item_002
2025-07-18,Item_003,Item_003,"$46,015",Check,Cleared,Item_003,Item_003
2025-07-22,Item_004,Item_004,"$49,945",Check,Cleared,Item_004,Item_004
2025-07-27,Item_005,Item_005,"$24,853",Wire,Outstanding,Item_005,Item_005
2025-07-25,Item_006,Item_006,"$30,190",Wire,Reconciled,Item_006,Item_006
2025-08-03,Item_007,Item_007,"$5,733",Wire,Cleared,Item_007,Item_007
2025-08-01,Item_008,Item_008,"$42,019",Fee,Outstanding,Item_008,Item_008
2025-07-11,Item_009,Item_009,"$43,972",Wire,Outstanding,Item_009,Item_009
2025-07-29,Item_010,Item_010,"$39,753",Wire,Reconciled,Item_010,Item_010
2025-07-30,Item_011,Item_011,"$6,421",Deposit,Cleared,Item_011,Item_011
2025-07-29,Item_012,Item_012,"$41,778",Interest,Cleared,Item_012,Item_012
2025-07-14,Item_013,Item_013,"$6,281",Wire,Outstanding,Item_013,Item_013
2025-07-06,Item_014,Item_014,"$14,712",Interest,Reconciled,Item_014,Item_014
2025-07-11,Item_015,Item_015,"$20,402",Fee,Cleared,Item_015,Item_015
2025-07-20,Item_016,Item_016,"$21,881",Wire,Reconciled,Item_016,Item_016
2025-07-09,Item_017,Item_017,"$24,078",Wire,Cleared,Item_017,Item_017
2025-07-27,Item_018,Item_018,"$35,234",Deposit,Reconciled,Item_018,Item_018
2025-08-01,Item_019,Item_019,"$22,871",Deposit,Reconciled,Item_019,Item_019
2025-07-18,Item_020,Item_020,"$8,360",Wire,Outstanding,Item_020,Item_020
2025-07-20,Item_021,Item_021,"$1,873",Check,Cleared,Item_021,Item_021
2025-07-24,Item_022,Item_022,"$6,983",Fee,Cleared,Item_022,Item_022
2025-07-19,Item_023,Item_023,"$8,299",Interest,Cleared,Item_023,Item_023
2025-07-19,Item_024,Item_024,"$27,111",Wire,Outstanding,Item_024,Item_024
2025-07-25,Item_025,Item_025,"$33,545",Check,Outstanding,Item_025,Item_025
2025-07-12,Item_026,Item_026,"$22,092",Fee,Cleared,Item_026,Item_026
2025-07-23,Item_027,Item_027,"$24,519",Fee,Reconciled,Item_027,Item_027
2025-07-08,Item_028,Item_028,"$42,859",Interest,Reconciled,Item_028,Item_028
2025-07-24,Item_029,Item_029,"$15,507",Interest,Cleared,Item_029,Item_029
2025-07-27,Item_030,Item_030,"$45,666",Fee,Reconciled,Item_030,Item_030
2025-07-15,Item_031,Item_031,"$33,156",Deposit,Outstanding,Item_031,Item_031
2025-07-11,Item_032,Item_032,"$1,383",Wire,Outstanding,Item_032,Item_032
2025-07-18,Item_033,Item_033,"$15,218",Wire,Cleared,Item_033,Item_033
2025-07-13,Item_034,Item_034,"$7,439",Interest,Outstanding,Item_034,Item_034
2025-07-18,Item_035,Item_035,"$22,853",Interest,Outstanding,Item_035,Item_035
2025-07-28,Item_036,Item_036,"$49,445",Interest,Outstanding,Item_036,Item_036
2025-07-26,Item_037,Item_037,"$37,472",Deposit,Outstanding,Item_037,Item_037
2025-07-15,Item_038,Item_038,"$49,516",Interest,Cleared,Item_038,Item_038
2025-07-23,Item_039,Item_039,$859,Check,Reconciled,Item_039,Item_039
2025-07-13,Item_040,Item_040,"$47,135",Check,Outstanding,Item_040,Item_040
2025-07-16,Item_041,Item_041,"$23,861",Fee,Reconciled,Item_041,Item_041
2025-07-15,Item_042,Item_042,"$16,150",Interest,Outstanding,Item_042,Item_042
2025-07-08,Item_043,Item_043,"$13,636",Deposit,Reconciled,Item_043,Item_043
2025-07-24,Item_044,Item_044,"$16,648",Fee,Outstanding,Item_044,Item_044
2025-08-03,Item_045,Item_045,"$32,105",Deposit,Cleared,Item_045,Item_045
2025-07-18,Item_046,Item_046,"$23,712",Deposit,Outstanding,Item_046,Item_046
2025-07-30,Item_047,Item_047,"$1,694",Fee,Cleared,Item_047,Item_047
2025-07-22,Item_048,Item_048,"$48,689",Check,Outstanding,Item_048,Item_048
2025-08-01,Item_049,Item_049,"$11,132",Wire,Cleared,Item_049,Item_049
2025-07-23,Item_050,Item_050,"$3,239",Wire,Cleared,Item_050,Item_050
