Control_ID,Control_Description,Control_Type,Frequency,Owner,SOX_Relevant,Design_Effective,Operating_Effective,Deficiencies,Management_Response
Control_ID_1,Control_Description_1,Control_Type_1,Frequency_1,Owner_1,SOX_Relevant_1,Design_Effective_1,Operating_Effective_1,Deficiencies_1,Management_Response_1
Control_ID_2,Control_Description_2,Control_Type_2,Frequency_2,Owner_2,SOX_Relevant_2,Design_Effective_2,Operating_Effective_2,Deficiencies_2,Management_Response_2
Control_ID_3,Control_Description_3,Control_Type_3,Frequency_3,Owner_3,SOX_Relevant_3,Design_Effective_3,Operating_Effective_3,Deficiencies_3,Management_Response_3
Control_ID_4,Control_Description_4,Control_Type_4,Frequency_4,Owner_4,SOX_Relevant_4,Design_Effective_4,Operating_Effective_4,Deficiencies_4,Management_Response_4
Control_ID_5,Control_Description_5,Control_Type_5,Frequency_5,Owner_5,SOX_Relevant_5,Design_Effective_5,Operating_Effective_5,Deficiencies_5,Management_Response_5
Control_ID_6,Control_Description_6,Control_Type_6,Frequency_6,Owner_6,SOX_Relevant_6,Design_Effective_6,Operating_Effective_6,Deficiencies_6,Management_Response_6
Control_ID_7,Control_Description_7,Control_Type_7,Frequency_7,Owner_7,SOX_Relevant_7,Design_Effective_7,Operating_Effective_7,Deficiencies_7,Management_Response_7
Control_ID_8,Control_Description_8,Control_Type_8,Frequency_8,Owner_8,SOX_Relevant_8,Design_Effective_8,Operating_Effective_8,Deficiencies_8,Management_Response_8
Control_ID_9,Control_Description_9,Control_Type_9,Frequency_9,Owner_9,SOX_Relevant_9,Design_Effective_9,Operating_Effective_9,Deficiencies_9,Management_Response_9
Control_ID_10,Control_Description_10,Control_Type_10,Frequency_10,Owner_10,SOX_Relevant_10,Design_Effective_10,Operating_Effective_10,Deficiencies_10,Management_Response_10
Control_ID_11,Control_Description_11,Control_Type_11,Frequency_11,Owner_11,SOX_Relevant_11,Design_Effective_11,Operating_Effective_11,Deficiencies_11,Management_Response_11
Control_ID_12,Control_Description_12,Control_Type_12,Frequency_12,Owner_12,SOX_Relevant_12,Design_Effective_12,Operating_Effective_12,Deficiencies_12,Management_Response_12
Control_ID_13,Control_Description_13,Control_Type_13,Frequency_13,Owner_13,SOX_Relevant_13,Design_Effective_13,Operating_Effective_13,Deficiencies_13,Management_Response_13
Control_ID_14,Control_Description_14,Control_Type_14,Frequency_14,Owner_14,SOX_Relevant_14,Design_Effective_14,Operating_Effective_14,Deficiencies_14,Management_Response_14
Control_ID_15,Control_Description_15,Control_Type_15,Frequency_15,Owner_15,SOX_Relevant_15,Design_Effective_15,Operating_Effective_15,Deficiencies_15,Management_Response_15
Control_ID_16,Control_Description_16,Control_Type_16,Frequency_16,Owner_16,SOX_Relevant_16,Design_Effective_16,Operating_Effective_16,Deficiencies_16,Management_Response_16
Control_ID_17,Control_Description_17,Control_Type_17,Frequency_17,Owner_17,SOX_Relevant_17,Design_Effective_17,Operating_Effective_17,Deficiencies_17,Management_Response_17
Control_ID_18,Control_Description_18,Control_Type_18,Frequency_18,Owner_18,SOX_Relevant_18,Design_Effective_18,Operating_Effective_18,Deficiencies_18,Management_Response_18
